Order_ID,Date,City,Category,Units_Sold,Payment_Method,Customer_Rating,Unit_Price,Discount,Sales
ORD1001,2025-01-01 00:00:00.000000000,Ghaziabad,Clothing,7,Card,4.0,1514,0.18,8690.36
ORD1002,2025-01-02 12:18:09.075630252,Gurugram,Books,9,Card,5.0,379,0.2,2728.8
ORD1003,2025-01-04 00:36:18.151260504,Noida,Beauty,9,Card,4.2,1130,0.13,8847.9
ORD1004,2025-01-05 12:54:27.226890756,Gurugram,Grocery,3,UPI,4.5,792,0.04,2280.96
ORD1005,2025-01-07 01:12:36.302521008,Gurugram,Electronics,3,Net Banking,3.9,8774,0.14,22636.92
ORD1006,2025-01-08 13:30:45.378151260,Meerut,Books,3,Card,4.0,741,0.15,1889.55
ORD1007,2025-01-10 01:48:54.453781512,Noida,Beauty,4,Card,4.4,935,0.19,3029.4
ORD1008,2025-01-11 14:07:03.529411764,Noida,Books,8,Cash,4.1,654,0.12,4604.16
ORD1009,2025-01-13 02:25:12.605042016,Noida,Beauty,6,Card,3.0,1180,0.05,6726.0
ORD1010,2025-01-14 14:43:21.680672268,Gurugram,Beauty,8,Cash,4.7,1120,0.09,8153.6
ORD1011,2025-01-16 03:01:30.756302521,Ghaziabad,Grocery,1,Net Banking,3.7,535,0.1,481.5
ORD1012,2025-01-17 15:19:39.831932773,Noida,Beauty,8,UPI,5.0,869,0.17,5770.16
ORD1013,2025-01-19 03:37:48.907563025,Gurugram,Books,4,UPI,4.4,407,0.15,5535.2
ORD1014,2025-01-20 15:55:57.983193277,Meerut,Beauty,1,Net Banking,4.0,1186,0.1,1067.4
ORD1015,2025-01-22 04:14:07.058823529,Ghaziabad,Grocery,8,UPI,4.2,698,0.25,4188.0
ORD1016,2025-01-23 16:32:16.134453781,Meerut,Grocery,4,Net Banking,3.9,527,0.16,1770.72
ORD1017,2025-01-25 04:50:25.210084033,Ghaziabad,Books,6,Net Banking,3.7,616,0.07,3437.28
ORD1018,2025-01-26 17:08:34.285714285,Gurugram,Clothing,8,Net Banking,4.1,1949,0.04,14968.32
ORD1019,2025-01-28 05:26:43.361344537,Delhi,Clothing,4,UPI,,1621,0.06,6094.96
ORD1020,2025-01-29 17:44:52.436974790,Ghaziabad,Beauty,3,Cash,3.7,657,0.08,1813.32
ORD1021,2025-01-31 06:03:01.512605042,Meerut,Electronics,9,Net Banking,3.7,7281,0.06,61597.26
ORD1022,2025-02-01 18:21:10.588235294,Gurugram,Beauty,3,Card,3.8,913,0.06,2574.66
ORD1023,2025-02-03 06:39:19.663865546,Ghaziabad,Books,9,UPI,4.5,655,0.09,5364.45
ORD1024,2025-02-04 18:57:28.739495798,Delhi,Books,2,Net Banking,4.8,558,0.06,1049.04
